COD_PERSONA;COD_AREANEGO;COD_EDAD;COD_OFICIPAL;COD_SEGLOBAL;estado_cli
364;13;52;9275;24;A
672;13;40;6130;24;R
728;6057;68;8248;23;I
775;6057;44;9981;24;I
1279;13;67;161;14;A
1714;58;28;2349;34;A
2053;8008;42;2349;33;R
2790;58;28;2349;34;M
3146;6057;73;9622;23;I
3286;13;44;1101;24;A
3304;13;60;3492;22;A
3344;13;50;3169;15;A
4133;13;84;602;23;A
4461;6057;62;9613;23;I
4662;13;45;7911;87;M
5049;13;47;5465;34;A
5103;13;47;2364;34;M
5675;6057;42;6134;24;I
5869;13;70;5008;14;A
5885;13;69;7038;21;A
6086;13;36;102;1;A
6552;13;65;2390;14;A
6863;6057;74;9613;23;I
8644;13;53;390;24;A
8686;13;44;249;81;M
8827;13;30;111;82;M
8952;6057;70;9613;23;I
9066;13;39;21;15;A
9507;13;67;405;22;A
9848;6057;57;9981;24;I
10099;6057;52;9981;81;I
10327;13;59;1600;23;A
11039;13;54;2410;15;A
11175;58;39;2367;34;M
11619;6057;84;9613;23;R
11849;13;55;779;24;A
12634;58;45;2368;34;A
13177;6057;60;9534;81;I
13392;6057;85;8642;23;M
13469;58;27;2339;34;M
13747;13;41;4930;82;A
13938;13;77;673;23;A
13950;13;40;284;82;A
14046;13;59;928;23;A
14091;6057;64;9613;23;I
14391;13;91;1307;23;I
14705;6057;62;9613;23;R
14908;13;90;719;23;R
14987;6057;58;7253;22;R
15160;6057;59;4170;23;R
15711;13;58;6461;24;A
15794;6057;54;699;83;I
15892;13;48;5194;81;A
16330;58;31;2368;34;A
16349;13;71;4853;23;A
16853;6057;52;1545;24;I
16912;6057;67;6197;23;I
18204;6057;41;3178;24;M
18421;6687;20;2341;31;A
19212;13;42;3577;24;A
19230;13;42;999;31;R
19458;13;69;3212;15;A
19514;13;54;9465;22;A
20258;13;51;2293;87;A
20506;6057;44;8248;24;I
20532;6057;70;102;23;A
20631;13;63;3298;83;A
21022;13;69;4470;21;A
21633;13;48;1081;82;A
22111;13;31;6755;14;A
22149;13;54;4259;87;M
22185;6057;50;9892;24;R
22967;13;60;1402;21;A
23031;13;53;8361;80;A
23527;13;92;1190;15;A
23688;4739;51;2337;33;A
23763;13;68;1371;14;A
24185;13;47;5669;14;A
24518;13;83;4015;23;A
24613;6057;44;1344;24;I
24954;13;70;4817;23;A
25110;6057;56;9646;24;M
25181;13;21;8190;84;M
25698;13;82;1519;23;A
26094;13;55;3146;15;A
26226;58;45;5425;34;M
26286;13;93;2734;22;A
26364;13;45;847;35;A
26471;13;68;569;83;M
26766;6057;70;4960;15;I
26875;13;61;1603;23;A
26894;6057;76;9613;23;R
27511;13;66;5593;88;A
27951;13;81;4383;14;A
28082;13;39;395;24;A
28241;6057;86;9613;23;I
28522;13;26;210;82;A
28915;4747;59;908;14;A
29251;6057;40;1874;89;I
29479;6057;42;9981;24;I
29786;13;66;5967;22;A
30654;6057;40;9892;24;I
31013;6057;49;9622;24;I
31106;13;75;2815;23;A
31672;13;45;3536;83;M
