YEAR;MONTH;FLIGHT_NUMBER;ORIGIN;DESTINATION;DURATION;DELAY
2013;11;5000;TIA;MPL;95;-5
2012;10;5008;LPA;LUX;77;-3
2013;3;5004;TBS;CGN;251;11
2011;9;5025;CDG;TXL;89;19
2013;8;5012;null;OSL;174;24
2010;9;5008;LPA;LUX;73;-7
2012;4;5026;TXL;DUS;118;18
2011;2;5012;BGO;OSL;160;10
2011;7;5010;TGD;AMS;92;-3
2011;7;5016;IST;BHX;89;14
2010;1;5010;TGD;AMS;119;24
2011;5;5021;LTN;MAN;200;0
2012;1;5005;CGN;MAD;111;1
2010;7;5010;TGD;AMS;124;29
2012;3;5011;AMS;BGO;185;5
2011;2;5025;CDG;TXL;102;32
2011;10;5015;SVQ;IST;77;17
2013;5;5001;MPL;BVA;118;-2
2012;1;5016;IST;BHX;102;27
2010;9;5022;MAN;GLA;217;7
2010;7;5024;SXF;CDG;102;22
2011;5;5001;MPL;BVA;140;20
2010;2;5003;FMM;TBS;63;8
2012;12;5008;LPA;LUX;70;-10
2010;6;5017;BHX;JER;74;9
2010;3;5021;LTN;MAN;232;32
2013;2;5013;OSL;ACE;190;20
2012;11;5013;OSL;ACE;199;29
2013;3;5023;GLA;SXF;186;21
2013;3;5015;SVQ;IST;91;31
2012;5;5004;TBS;CGN;272;32
2010;11;5005;CGN;MAD;144;34
2013;9;5004;TBS;CGN;275;35
2013;1;5004;TBS;CGN;264;24
2012;4;5003;FMM;TBS;86;31
2011;8;5013;OSL;ACE;169;-1
2010;4;5006;MAD;BCN;105;20
2013;4;5006;MAD;BCN;92;7
2010;9;5006;MAD;BCN;98;13
2012;7;5015;SVQ;IST;95;35
2013;8;5018;JER;LCY;139;4
2010;5;5024;null;CDG;94;14
2013;8;5026;TXL;DUS;125;25
2011;9;5013;OSL;ACE;205;35
2012;6;5017;BHX;JER;80;15
2013;8;5009;LUX;TGD;92;-8
2010;7;5022;MAN;GLA;235;25
2011;8;5015;SVQ;IST;67;7
2012;6;5010;TGD;AMS;124;29
2013;9;5008;LPA;LUX;103;23
2013;2;5007;BCN;LPA;79;9
2012;3;5018;JER;LCY;140;5
2010;2;5012;BGO;OSL;140;-10
2011;2;5007;BCN;LPA;68;-2
2012;4;5020;LPL;LTN;149;-6
2011;3;5012;BGO;OSL;148;-2
2011;11;5005;CGN;MAD;136;26
2013;11;5008;LPA;LUX;80;0
2011;12;5000;TIA;MPL;105;5
2013;10;5014;ACE;SVQ;53;13
2012;10;5000;TIA;MPL;125;25
2012;8;5006;MAD;BCN;85;0
2010;10;5007;BCN;LPA;79;9
2010;4;5018;JER;LCY;163;28
2012;2;5011;AMS;BGO;171;-9
2011;5;5003;FMM;TBS;90;35
2010;2;5020;LPL;LTN;169;14
2010;7;5009;LUX;TGD;101;1
2012;12;5009;LUX;TGD;96;-4
2012;10;5013;OSL;ACE;198;28
2012;8;5014;ACE;SVQ;56;16
2012;10;5010;TGD;AMS;90;-5
2011;5;5008;LPA;LUX;80;0
2010;3;5021;LTN;MAN;215;15
2011;5;5012;BGO;OSL;143;-7
2012;6;5002;BVA;FMM;105;15
2010;7;5017;BHX;JER;66;1
2010;2;5005;CGN;MAD;112;2
2010;12;5008;LPA;LUX;80;0
2010;2;5003;FMM;TBS;73;18
2013;11;5000;TIA;MPL;115;15
2013;12;5013;OSL;ACE;189;19
2011;12;5022;MAN;GLA;211;1
2013;8;5011;AMS;BGO;211;31
2013;9;5000;TIA;MPL;109;9
2011;8;5026;TXL;DUS;101;1
2013;8;5012;BGO;OSL;163;13
2013;2;5008;LPA;LUX;110;30
2011;9;5017;BHX;JER;82;17
2011;10;5019;LCY;LPL;157;27
2011;2;5011;AMS;BGO;173;-7
2010;1;5007;BCN;LPA;82;12
2012;12;5023;GLA;SXF;174;9
2011;6;5010;TGD;AMS;123;28
2010;2;5002;BVA;FMM;91;1
2013;6;5024;SXF;CDG;93;13
2012;8;5012;null;OSL;165;15
2013;12;5005;CGN;MAD;121;11
2012;12;5007;BCN;LPA;73;3
2012;10;5011;AMS;BGO;201;21
2012;4;5012;BGO;OSL;157;7
2010;2;5020;LPL;LTN;151;-4
2012;10;5008;LPA;LUX;83;3
2010;4;5007;BCN;LPA;67;-3
2013;1;5025;CDG;TXL;95;25
2010;9;5002;BVA;FMM;86;-4
2013;10;5023;GLA;SXF;170;5
2012;2;5009;LUX;TGD;117;17
2012;4;5009;LUX;TGD;95;-5
2010;10;5025;CDG;TXL;78;8
2011;4;5015;SVQ;null;70;10
2010;2;5012;BGO;OSL;159;9
2011;6;5000;TIA;MPL;115;15
2012;12;5022;MAN;GLA;207;-3
2012;6;5019;LCY;LPL;161;31
2013;4;5013;OSL;ACE;186;16
2010;6;5007;BCN;LPA;92;22
2011;1;5023;GLA;SXF;187;22
2010;1;5013;OSL;ACE;200;30
2010;10;5000;TIA;MPL;108;8
2012;7;5024;SXF;CDG;100;20
2013;7;5017;BHX;JER;82;17
2011;3;5005;CGN;MAD;101;-9
2011;11;5005;CGN;MAD;111;1
2012;4;5017;BHX;JER;74;9
2012;6;5023;GLA;SXF;176;11
2011;1;5020;LPL;LTN;157;2
2012;10;5022;MAN;GLA;225;15
2012;3;5022;MAN;GLA;213;3
2011;11;5012;BGO;OSL;154;4
2010;3;5002;BVA;FMM;112;22
2012;8;5024;SXF;CDG;110;30
2012;4;5016;IST;BHX;79;4
2013;9;5022;MAN;GLA;203;-7
2013;9;5011;AMS;BGO;188;8
2012;4;5014;ACE;SVQ;55;15
2013;12;5000;TIA;MPL;105;5
2012;11;5026;TXL;DUS;96;-4
2010;3;5018;JER;LCY;143;8
2010;4;5024;null;CDG;98;18
2013;6;5005;CGN;MAD;144;34
2011;9;5002;BVA;FMM;104;14
2011;7;5005;CGN;MAD;126;16
2012;3;5015;SVQ;IST;50;-10
2010;3;5020;LPL;LTN;167;12
2013;10;5010;TGD;AMS;117;22
2011;7;5017;BHX;JER;79;14
2013;3;5024;SXF;CDG;97;17
2012;3;5001;MPL;BVA;151;31
2010;12;5006;MAD;BCN;88;3
2010;5;5006;MAD;BCN;112;27
2012;9;5015;SVQ;IST;89;29
2011;6;5010;TGD;AMS;103;8
2012;5;5014;ACE;SVQ;45;5
2012;4;5006;MAD;BCN;94;9
2011;12;5006;MAD;BCN;111;26
2012;7;5009;LUX;TGD;103;3
2012;7;5008;LPA;LUX;103;23
2013;3;5023;GLA;SXF;190;25
2011;2;5008;LPA;LUX;81;1
2013;7;5022;MAN;GLA;225;15
2012;8;5003;FMM;TBS;70;15
2012;4;5018;JER;LCY;145;10
2010;1;5014;ACE;SVQ;71;31
2010;6;5011;AMS;BGO;179;-1
2011;11;5009;LUX;TGD;119;19
2013;10;5012;BGO;OSL;154;4
2013;8;5020;LPL;LTN;183;28
2013;12;5006;MAD;BCN;77;-8
2011;9;5011;AMS;BGO;210;30
2012;4;5008;LPA;LUX;73;-7
2011;12;5005;CGN;MAD;132;22
2012;4;5017;BHX;JER;91;26
2013;3;5006;MAD;BCN;103;18
2013;7;5012;BGO;OSL;148;-2
2013;2;5026;TXL;DUS;121;21
2010;1;5026;TXL;DUS;126;26
2013;9;5018;JER;LCY;137;2
2013;10;5021;LTN;MAN;233;33
2012;9;5006;MAD;BCN;110;25
2010;6;5004;TBS;CGN;253;13
2013;6;5026;TXL;DUS;105;5
2011;5;5022;MAN;GLA;227;17
2011;2;5013;OSL;ACE;181;11
2013;7;5003;FMM;TBS;70;15
2010;4;5010;TGD;AMS;96;1
2010;12;5018;JER;LCY;134;-1
2012;1;5006;MAD;BCN;88;3
2010;9;5020;LPL;LTN;180;25
2010;6;5005;CGN;MAD;138;28
2011;1;5008;LPA;LUX;107;27
2012;3;5021;LTN;MAN;193;-7
2010;7;5000;TIA;MPL;113;13
2013;4;5022;MAN;GLA;216;6
2010;11;5022;MAN;GLA;205;-5
2011;5;5007;BCN;LPA;69;-1
2010;1;5020;LPL;LTN;163;8
2013;10;5006;MAD;BCN;78;-7
2013;6;5013;OSL;ACE;185;15
2010;8;5004;TBS;CGN;234;-6
2010;9;5011;AMS;BGO;181;1
2011;6;5010;TGD;AMS;125;30
2012;4;5010;TGD;AMS;95;0
2010;4;5001;MPL;BVA;149;29
2012;12;5000;TIA;MPL;122;22
2011;6;5006;MAD;BCN;94;9
2010;1;5017;BHX;JER;85;20
2013;12;5011;AMS;BGO;180;0
2011;1;5013;OSL;ACE;184;14
2011;5;5026;TXL;DUS;128;28
2012;2;5026;TXL;DUS;95;-5
2011;8;5002;BVA;FMM;112;22
2013;10;5018;JER;LCY;133;-2
2012;6;5000;TIA;MPL;104;4
2013;5;5010;TGD;AMS;122;27
2010;12;5007;BCN;LPA;90;20
2010;4;5001;MPL;BVA;118;-2
2013;8;5017;BHX;JER;66;1
2011;6;5011;AMS;BGO;204;24
2010;11;5024;SXF;CDG;77;-3
2012;5;5021;LTN;MAN;211;11
2010;7;5004;TBS;CGN;271;31
2012;5;5002;BVA;FMM;97;7
2011;6;5010;TGD;AMS;95;0
2011;12;5018;JER;LCY;154;19
2012;1;5014;ACE;SVQ;31;-9
2010;8;5018;JER;LCY;160;25
2010;9;5015;SVQ;null;89;29
2013;11;5005;CGN;MAD;100;-10
2012;6;5000;TIA;MPL;116;16
2010;11;5026;TXL;DUS;125;25
2013;8;5011;AMS;BGO;182;2
2012;4;5021;LTN;MAN;205;5
2011;11;5008;LPA;LUX;90;10
2012;7;5007;BCN;LPA;94;24
2013;6;5001;MPL;null;127;7
2011;1;5001;MPL;null;133;13
2011;3;5000;TIA;MPL;128;28
2013;5;5008;LPA;LUX;102;22
2011;11;5025;CDG;TXL;94;24
2012;12;5000;TIA;MPL;120;20
2011;1;5019;LCY;LPL;130;0
2012;2;5015;SVQ;IST;55;-5
2011;11;5002;BVA;FMM;100;10
2010;12;5005;CGN;MAD;127;17
2010;12;5006;MAD;BCN;98;13
2013;10;5010;TGD;AMS;106;11
2012;6;5012;BGO;OSL;150;0
2013;1;5023;GLA;SXF;156;-9
2012;4;5021;LTN;MAN;223;23
2013;5;5023;GLA;SXF;179;14
2010;9;5024;SXF;CDG;92;12
2012;5;5006;MAD;BCN;87;2
2012;6;5018;JER;LCY;149;14
2013;5;5013;OSL;ACE;178;8
2012;2;5008;LPA;LUX;110;30
2010;5;5020;LPL;LTN;152;-3
2013;2;5005;CGN;MAD;129;19
2011;4;5021;LTN;MAN;211;11
2012;11;5002;BVA;FMM;103;13
2011;1;5007;BCN;LPA;93;23
2011;5;5019;LCY;LPL;153;23
2013;3;5000;TIA;MPL;107;7
2012;10;5021;LTN;MAN;220;20
2012;10;5005;CGN;MAD;108;-2
2011;10;5017;BHX;JER;71;6
2013;3;5019;LCY;LPL;121;-9
2010;6;5020;LPL;LTN;170;15
2011;1;5000;TIA;MPL;97;-3
2013;3;5024;SXF;CDG;90;10
2013;8;5006;MAD;BCN;95;10
2010;7;5018;JER;LCY;129;-6
2010;5;5015;SVQ;IST;87;27
2011;12;5002;BVA;FMM;92;2
2010;11;5016;IST;BHX;78;3
2010;10;5025;CDG;TXL;100;30
2013;8;5010;TGD;AMS;109;14
2012;12;5018;JER;LCY;137;2
2012;8;5015;SVQ;null;58;-2
2011;11;5018;JER;LCY;170;35
2011;9;5015;SVQ;null;85;25
2010;1;5025;CDG;TXL;65;-5
2010;3;5002;BVA;FMM;92;2
2010;12;5011;AMS;BGO;180;0
2013;10;5019;LCY;LPL;148;18
2011;7;5008;LPA;LUX;74;-6
2013;6;5026;TXL;DUS;110;10
2010;10;5012;BGO;OSL;148;-2
2011;8;5010;TGD;AMS;114;19
2013;10;5007;BCN;LPA;62;-8
2012;5;5023;GLA;SXF;175;10
2013;4;5019;LCY;LPL;160;30
2011;7;5006;MAD;BCN;110;25
2010;4;5019;LCY;LPL;162;32
2010;8;5025;CDG;TXL;79;9
2010;4;5005;CGN;MAD;125;15
2013;5;5022;MAN;GLA;240;30
2012;3;5014;ACE;SVQ;36;-4
2010;7;5004;TBS;CGN;250;10
2012;4;5026;TXL;DUS;95;-5
2012;7;5013;OSL;ACE;169;-1
2011;11;5001;MPL;BVA;136;16
2012;8;5006;MAD;BCN;102;17
2011;5;5007;BCN;LPA;104;34
2012;6;5001;MPL;BVA;134;14
2013;10;5011;AMS;BGO;187;7
2013;3;5005;CGN;MAD;110;0
2011;5;5002;BVA;FMM;96;6
2010;7;5017;BHX;JER;89;24
2013;1;5021;LTN;MAN;233;33
2013;2;5002;BVA;FMM;91;1
2011;8;5025;CDG;TXL;101;31
2013;6;5016;IST;BHX;106;31
2013;3;5015;SVQ;IST;59;-1
2011;9;5004;TBS;CGN;263;23
2012;6;5021;LTN;MAN;200;0
2012;10;5000;TIA;MPL;105;5
2013;7;5025;CDG;TXL;83;13
2010;4;5016;IST;BHX;94;19
2011;4;5009;LUX;TGD;106;6
2011;3;5015;SVQ;IST;81;21
2012;10;5007;BCN;LPA;103;33
2010;6;5024;SXF;CDG;83;3
2012;4;5000;TIA;MPL;114;14
2010;1;5001;MPL;BVA;154;34
2010;7;5024;SXF;CDG;84;4
2012;3;5004;TBS;CGN;247;7
2010;10;5008;LPA;LUX;84;4
2013;8;5001;MPL;BVA;136;16
2012;6;5000;TIA;MPL;97;-3
2013;8;5023;GLA;SXF;188;23
2013;4;5007;BCN;LPA;99;29
2013;3;5005;CGN;MAD;138;28
2011;7;5008;LPA;LUX;96;16
2010;8;5008;LPA;LUX;114;34
2012;3;5001;MPL;BVA;125;5
2010;4;5008;LPA;LUX;101;21
2012;1;5004;TBS;CGN;236;-4
2012;6;5014;ACE;SVQ;44;4
2011;1;5019;LCY;LPL;122;-8
2011;6;5003;FMM;TBS;61;6
2013;9;5017;BHX;JER;94;29
2010;6;5012;null;OSL;169;19
2013;10;5013;OSL;ACE;201;31
2011;12;5000;TIA;MPL;90;-10
2012;4;5020;LPL;LTN;178;23
2011;11;5010;TGD;AMS;91;-4
2010;1;5024;null;CDG;81;1
2012;12;5013;OSL;ACE;161;-9
2012;4;5023;GLA;SXF;181;16
2010;9;5009;LUX;TGD;91;-9
2011;3;5018;JER;LCY;157;22
2010;1;5001;MPL;BVA;124;4
2010;12;5015;SVQ;IST;68;8
2013;1;5000;TIA;MPL;94;-6
2011;12;5023;GLA;SXF;156;-9
2011;11;5024;SXF;CDG;101;21
2012;2;5011;AMS;BGO;213;33
2010;8;5004;TBS;CGN;274;34
2013;6;5003;FMM;TBS;71;16
2010;11;5018;JER;LCY;170;35
2011;12;5018;JER;LCY;128;-7
2013;11;5026;TXL;DUS;101;1
2012;1;5005;CGN;MAD;115;5
2012;6;5024;SXF;CDG;110;30
2011;10;5025;CDG;TXL;95;25
2011;6;5005;CGN;MAD;110;0
2013;11;5021;LTN;MAN;203;3
2010;11;5002;BVA;FMM;89;-1
2012;4;5016;IST;BHX;69;-6
2013;1;5024;SXF;CDG;87;7
2011;1;5002;BVA;FMM;99;9
2010;6;5009;LUX;TGD;116;16
2011;7;5013;OSL;ACE;193;23
2011;8;5003;FMM;TBS;73;18
2013;3;5003;FMM;TBS;49;-6
2012;4;5026;TXL;DUS;94;-6
2012;3;5018;JER;LCY;152;17
2010;5;5006;MAD;BCN;87;2
2010;6;5011;AMS;BGO;184;4
2011;2;5010;TGD;AMS;125;30
2012;8;5008;LPA;LUX;85;5
2013;9;5010;TGD;AMS;114;19
2013;7;5026;TXL;DUS;90;-10
2011;4;5016;IST;BHX;91;16
2011;12;5003;FMM;TBS;66;11
2010;7;5013;OSL;ACE;162;-8
2010;11;5021;LTN;MAN;204;4
2011;9;5019;LCY;LPL;144;14
2011;8;5012;null;OSL;170;20
2013;10;5013;OSL;ACE;189;19
2013;7;5001;MPL;BVA;135;15
2012;11;5012;BGO;OSL;183;33
2012;10;5008;LPA;LUX;105;25
2013;7;5001;MPL;BVA;130;10
2010;12;5016;IST;BHX;76;1
2012;10;5006;MAD;BCN;109;24
2013;2;5014;ACE;SVQ;46;6
2010;4;5000;TIA;MPL;101;1
2013;8;5005;CGN;MAD;105;-5
2011;4;5005;CGN;MAD;125;15
2012;9;5026;TXL;DUS;116;16
2012;7;5008;LPA;LUX;88;8
2010;11;5012;null;OSL;147;-3
2013;10;5000;TIA;MPL;119;19
2013;10;5008;LPA;LUX;79;-1
2013;10;5008;LPA;LUX;75;-5
2013;3;5015;SVQ;IST;59;-1
2012;9;5003;FMM;TBS;65;10
2011;12;5026;TXL;DUS;104;4
2013;11;5016;IST;BHX;92;17
2013;9;5007;BCN;LPA;86;16
2012;3;5001;MPL;BVA;119;-1
2013;3;5025;CDG;TXL;104;34
2013;12;5006;MAD;BCN;95;10
2011;6;5012;BGO;OSL;178;28
2012;2;5010;TGD;AMS;92;-3
2010;11;5013;OSL;ACE;179;9
2010;5;5002;BVA;FMM;86;-4
2013;7;5017;BHX;JER;94;29
2011;12;5001;MPL;BVA;139;19
2011;10;5025;CDG;TXL;73;3
2012;9;5007;BCN;LPA;91;21
2010;7;5000;TIA;MPL;112;12
2010;11;5018;JER;LCY;165;30
2010;2;5022;MAN;GLA;205;-5
2010;7;5006;MAD;BCN;77;-8
2010;5;5000;TIA;MPL;107;7
2012;11;5003;FMM;TBS;85;30
2011;7;5005;CGN;MAD;145;35
2013;7;5025;CDG;TXL;90;20
2010;5;5007;BCN;LPA;87;17
2012;8;5001;MPL;null;134;14
2011;1;5021;LTN;MAN;202;2
2012;10;5012;BGO;OSL;171;21
2012;11;5012;BGO;OSL;146;-4
2013;3;5011;AMS;BGO;195;15
2010;8;5026;TXL;DUS;120;20
2011;7;5000;TIA;MPL;103;3
2012;3;5025;CDG;TXL;82;12
2013;11;5014;ACE;SVQ;60;20
2011;12;5019;LCY;LPL;138;8
2010;6;5001;MPL;BVA;110;-10
2010;10;5008;LPA;LUX;77;-3
2010;12;5025;CDG;TXL;81;11
2010;10;5014;ACE;SVQ;48;8
2011;11;5006;MAD;BCN;88;3
2011;8;5023;GLA;SXF;183;18
2013;9;5004;TBS;CGN;248;8
2010;4;5004;TBS;CGN;250;10
2010;8;5001;MPL;null;122;2
2013;3;5011;AMS;BGO;193;13
2010;4;5008;LPA;LUX;80;0
2011;4;5020;LPL;LTN;175;20
2013;3;5020;LPL;LTN;151;-4
2010;11;5019;LCY;LPL;154;24
2011;4;5014;ACE;SVQ;63;23
2011;1;5022;MAN;GLA;225;15
2013;6;5007;BCN;LPA;73;3
2010;4;5001;MPL;BVA;116;-4
2010;7;5016;IST;BHX;93;18
2013;4;5016;IST;BHX;103;28
2013;1;5019;LCY;LPL;158;28
2013;2;5003;FMM;TBS;88;33
2012;7;5026;TXL;DUS;120;20
2011;2;5011;AMS;BGO;190;10
2011;8;5012;BGO;OSL;157;7
2010;12;5001;MPL;BVA;140;20
2012;5;5012;BGO;OSL;150;0
2011;2;5004;TBS;CGN;263;23
2011;6;5018;JER;LCY;141;6
2010;5;5021;LTN;MAN;230;30
2013;5;5022;MAN;GLA;234;24
2010;7;5015;SVQ;IST;53;-7
2010;3;5014;ACE;SVQ;73;33
2010;7;5016;IST;BHX;76;1
2013;2;5022;MAN;GLA;221;11
2013;10;5005;CGN;MAD;112;2
2012;12;5015;SVQ;IST;66;6
2010;8;5023;GLA;SXF;166;1
2013;8;5010;TGD;AMS;106;11
2011;7;5006;MAD;BCN;90;5
2010;7;5022;MAN;GLA;228;18
2011;3;5026;TXL;DUS;90;-10
2012;8;5026;TXL;DUS;98;-2
2010;6;5003;FMM;TBS;90;35
2011;12;5008;LPA;LUX;94;14
2013;5;5020;LPL;LTN;156;1
2011;11;5014;ACE;SVQ;45;5
2013;8;5026;TXL;DUS;124;24
2013;1;5025;CDG;TXL;70;0
2013;7;5025;CDG;TXL;74;4
2013;10;5019;LCY;LPL;159;29
2011;6;5002;BVA;FMM;104;14
2011;10;5006;MAD;BCN;119;34
2011;11;5016;IST;BHX;78;3
2011;10;5026;TXL;DUS;91;-9
2013;8;5001;MPL;BVA;113;-7
2010;2;5009;LUX;TGD;123;23
2011;12;5011;AMS;BGO;200;20
2011;1;5004;TBS;CGN;241;1
2011;12;5004;TBS;CGN;241;1
2011;1;5010;TGD;AMS;122;27
2010;2;5012;BGO;OSL;168;18
2013;12;5009;LUX;TGD;122;22
2010;5;5015;SVQ;IST;78;18
2011;9;5024;SXF;CDG;108;28
2013;10;5012;BGO;OSL;140;-10
2013;4;5018;JER;LCY;135;0
2012;11;5020;LPL;LTN;187;32
2013;7;5012;null;OSL;162;12
2010;3;5019;LCY;LPL;132;2
2012;3;5025;CDG;TXL;103;33
2010;2;5000;TIA;MPL;123;23
2012;5;5003;FMM;TBS;80;25
2010;8;5001;MPL;BVA;130;10
2013;5;5021;LTN;MAN;216;16
2012;4;5010;TGD;AMS;99;4
2012;11;5019;LCY;LPL;134;4
2010;3;5007;BCN;LPA;82;12
2011;5;5025;CDG;TXL;66;-4
2011;8;5026;TXL;DUS;97;-3
2013;2;5009;LUX;TGD;100;0
2012;10;5024;SXF;CDG;95;15
2011;6;5026;TXL;DUS;110;10
2011;12;5022;MAN;GLA;202;-8
2012;4;5013;OSL;ACE;191;21
2012;1;5015;SVQ;null;81;21
2013;11;5011;AMS;BGO;174;-6
2010;2;5004;TBS;CGN;247;7
2013;10;5013;OSL;ACE;195;25
2011;9;5005;CGN;MAD;129;19
2012;3;5010;TGD;AMS;124;29
2013;12;5019;LCY;LPL;158;28
2012;9;5012;BGO;OSL;175;25
2010;11;5022;MAN;GLA;216;6
2012;10;5001;MPL;BVA;148;28
2012;5;5019;LCY;LPL;160;30
2013;11;5008;LPA;LUX;72;-8
2012;12;5004;TBS;CGN;252;12
2011;5;5009;LUX;TGD;103;3
2012;12;5007;BCN;LPA;64;-6
2012;5;5005;CGN;MAD;133;23
2013;5;5019;LCY;LPL;156;26
2010;9;5008;LPA;LUX;86;6
2011;1;5009;LUX;TGD;123;23
2011;10;5021;LTN;MAN;217;17
2011;10;5001;MPL;BVA;144;24
2011;8;5022;MAN;GLA;242;32
2012;6;5018;JER;LCY;162;27
2012;9;5022;MAN;GLA;214;4
2010;2;5023;GLA;SXF;189;24
2013;5;5025;CDG;TXL;71;1
2010;7;5012;BGO;OSL;176;26
2013;12;5013;OSL;ACE;170;0
2011;5;5001;MPL;BVA;129;9
2010;12;5018;JER;LCY;165;30
2013;8;5026;TXL;DUS;95;-5
2011;11;5017;BHX;JER;95;30
2013;9;5024;SXF;CDG;90;10
2013;4;5021;LTN;MAN;210;10
2013;4;5016;IST;BHX;69;-6
2013;5;5018;JER;LCY;167;32
2010;2;5017;BHX;JER;97;32
2013;10;5004;TBS;CGN;267;27
2013;10;5019;LCY;LPL;129;-1
2010;4;5006;MAD;BCN;107;22
2010;4;5009;LUX;TGD;116;16
2013;3;5010;TGD;AMS;96;1
2011;7;5022;MAN;GLA;205;-5
2011;12;5000;TIA;MPL;98;-2
2012;5;5023;GLA;SXF;177;12
2011;6;5026;TXL;DUS;109;9
2012;8;5005;CGN;MAD;143;33
2010;3;5000;TIA;MPL;104;4
2013;11;5025;CDG;TXL;78;8
2010;8;5022;MAN;GLA;222;12
2010;12;5019;LCY;LPL;126;-4
2012;5;5013;OSL;ACE;166;-4
2011;4;5011;AMS;BGO;194;14
2012;5;5001;MPL;null;141;21
2010;7;5015;SVQ;IST;67;7
2012;2;5002;BVA;FMM;111;21
2013;4;5017;BHX;JER;92;27
2011;3;5003;FMM;TBS;84;29
2010;4;5019;LCY;LPL;156;26
2013;6;5020;LPL;LTN;169;14
2012;2;5009;LUX;TGD;135;35
2012;12;5019;LCY;LPL;139;9
2013;7;5001;MPL;BVA;137;17
2011;11;5003;FMM;TBS;53;-2
2013;5;5021;LTN;MAN;191;-9
2012;3;5012;BGO;OSL;175;25
2012;1;5005;CGN;MAD;114;4
2011;2;5005;CGN;MAD;138;28
2012;3;5006;MAD;BCN;120;35
2012;2;5018;JER;LCY;166;31
2013;4;5021;LTN;MAN;198;-2
2013;9;5002;BVA;FMM;85;-5
2013;7;5015;SVQ;IST;79;19
2010;9;5015;SVQ;null;62;2
2012;2;5020;LPL;LTN;162;7
2012;4;5008;LPA;LUX;99;19
2012;6;5007;BCN;LPA;76;6
2012;10;5024;null;CDG;112;32
2011;2;5016;IST;BHX;89;14
2013;1;5002;BVA;FMM;111;21
2012;11;5016;IST;BHX;90;15
2011;1;5024;null;CDG;102;22
2010;8;5022;MAN;GLA;219;9
2011;5;5003;FMM;TBS;73;18
2010;12;5016;IST;BHX;76;1
2010;12;5014;ACE;SVQ;46;6
2012;4;5017;BHX;JER;72;7
2012;10;5016;IST;BHX;109;34
2013;11;5004;TBS;CGN;241;1
2013;1;5022;MAN;GLA;229;19
2013;12;5020;LPL;LTN;145;-10
2011;6;5007;BCN;LPA;81;11
2010;8;5004;TBS;CGN;246;6
2012;4;5006;MAD;BCN;87;2
2013;3;5015;SVQ;IST;72;12
2010;2;5021;LTN;MAN;233;33
2011;1;5002;BVA;FMM;110;20
2012;7;5017;BHX;JER;80;15
2012;3;5015;SVQ;IST;73;13
2012;10;5015;SVQ;IST;66;6
2011;11;5020;LPL;LTN;150;-5
2013;5;5004;TBS;CGN;243;3
2011;12;5011;AMS;BGO;198;18
2012;9;5004;TBS;CGN;238;-2
2012;2;5016;IST;BHX;87;12
2010;7;5008;LPA;LUX;92;12
