COD_OFICI,COD_NIVELOFIC,des_ofici,cod_cbc,des_cbc,cod_zona,des_zona,COD_TERRIT,des_territ,cod_areanego,des_areanego
1,70,BANCO BILBAO VIZCAYA ARGENTARIA,,,,,0,,,
2004,40,AGREGADO FICT. CARTERA DE TITULOS,,,,,0,,,
2221,40,FRANCIA (R),,,,,0,,,
2222,40,ITALIA (R),,,,,0,,,
2223,40,INGLATERRA (R),,,,,0,,,
2224,40,NUEVA YORK (R),,,,,0,,,
2226,40,JAPON (R),,,,,0,,,
2227,40,BELGICA (R),,,,,0,,,
2246,40,CHINA (R),,,,,0,,,
2385,40,AUSTRALIA,,,,,0,,,
2572,40,MIAMI (R),,,,,0,,,
3111,10,"BBVA-GESTION CAPITALES,S.A.",,,,,0,,,
4777,40,ALEMANIA (R),,,,,0,,,
6024,68,DIVISION NEGOCIOS ESPAÑA Y PORTUGAL,,,,,0,,,
6038,68,DIVISION NEGOCIOS GLOBALES,,,,,0,,,
6051,65,EMPRESAS Y CORPORACIONES,,,,,0,,,
6052,65,AGREGADO RESTO DE AREAS(F),,,,,0,,,
6212,65,VARIOS NEGOCIOS GLOBALES,,,,,0,,,
6213,65,MERCADOS GLOBALES-TOTAL,,,,,0,,,
6214,65,GEST.ACTIVOS BCA.PRIVADA-TOTAL,,,,,0,,,
6216,65,CLIENTES GLOBALES Y B.DE INVERSION,,,,,0,,,
6250,65,TOTAL BANCA MINORISTA,,,,,0,,,
6285,65,SUPRAAREA ASSET MANAGEMENT,,,,,0,,,
6881,68,DIVISION WB&AM NY,,,,,0,,,
7223,65,VARIOS WB&AM NY,,,,,0,,,
7226,65,MERCADOS GLOBALES TOTAL NY,,,,,0,,,
7251,40,KOREA,,,,,0,,,
7268,40,TAIWAN,,,,,0,,,
7612,65,GLOBAL LENDING NY,,,,,0,,,
7619,65,GLOBAL TRANSACTIONAL BANKING NY,,,,,0,,,
7639,10,ADEA-BELGICA (PERSONAL),,,,,0,,,
7657,65,GLOBAL LENDING,,,,,0,,,
7721,65,GLOBAL TRANSACTIONAL BANKING,,,,,0,,,
7736,10,PORTUGAL (BBVA-BOLSA),,,,,0,,,
7737,10,PORTUGAL (INMOBILIARIA),,,,,0,,,
7738,10,PROBURSA (PERSONAL),,,,,0,,,
7742,65,CORPORATE FINANCE,,,,,0,,,
7751,10,FINANCE SPA (MILAN),,,,,0,,,
7758,40,HONG-KONG (R),,,,,0,,,
7765,10,ENTIDAD BANCARIA INTERNACIONAL(PERS),,,,,0,,,
7776,10,NUEVA YORK - SECURIETIES INC.,,,,,0,,,
7810,40,TOTAL NUEVA RED GRAND CAYMAN,,,,,0,,,
7825,10,BBVA PUERTO RICO(BANCO FILIAL),,,,,0,,,
7826,10,BBVA PORTUGAL(B.FILIAL),,,,,0,,,
7835,10,BBVA UNIBAN (B. FILIAL),,,,,0,,,
7836,10,ESTRUCTURA LUXEMBOURG,,,,,0,,,
7901,40,BBVA SINGAPUR,,,,,0,,,
8088,65,SUPRAAREA FINANCIACION REAL ESTATE,,,,,0,,,
8390,40,BANCA PERSONAL,,,,,0,,,
8392,40,R.FINANCIACION REAL ESTATE NORTE,,,,,0,,,
8393,40,R.FINANCIACION REAL ESTATE CENTRO,,,,,0,,,
8394,40,R.FINANCIACION REAL ESTATE CATALUNYA,,,,,0,,,
8395,40,R.FINANCIACION REAL ESTATE CANARIAS,,,,,0,,,
8396,40,R.FINANCIACION REAL ESTATE SUR,,,,,0,,,
8397,40,R.FINANCIACION REAL ESTATE NOROESTE,,,,,0,,,
8398,40,R.FINANCIACION REAL ESTATE ESTE,,,,,0,,,
8411,55,D.R. BEC-NOROESTE,,,,,0,,,
8412,55,D.R. BEC-NORTE,,,,,0,,,
8413,55,D.R. BEC-CATALUñA,,,,,0,,,
8414,55,D.R. BEC-CENTRO,,,,,0,,,
8415,55,D.R. BEC-ESTE,,,,,0,,,
8416,55,D.R. BEC-SUR,,,,,0,,,
8417,55,D.R. BEC-CANARIAS,,,,,0,,,
8418,55,D.R.BEC-COMPLEMENTO BBVA,,,,,0,,,
8419,40,DIRECCION RED (CAT-00),,,,,0,,,
8421,40,DIRECCION RED (CAT-02),,,,,0,,,
8423,40,DIRECCION RED (CENT-00),,,,,0,,,
8424,40,DIRECCION RED (CENT-01),,,,,0,,,
8425,40,DIRECCION RED (CENT-02),,,,,0,,,
8426,55,D.R. BEC BELGICA,,,,,0,,,
8429,40,DIRECCION RED (SUR-00),,,,,0,,,
8430,40,RED SUR OCCIDENTAL,,,,,0,,,
8431,40,DIRECCION RED (ESTE-00),,,,,0,,,
8432,40,DIRECCION RED (ESTE-01),,,,,0,,,
8434,40,DIRECCION RED (NORTE-00),,,,,0,,,
8435,40,DIRECCION RED (NORTE-01),,,,,0,,,
