COD_IDCONTRA,COD_PERSONA,FAP_CONTR,IMP_CAPDIS,IMP_CAPINI,IMP_CAPPEN
00000000000000000024873185,8644,31JUL1999,35361.97,35361.97,15891.81
00000000000000000366059069,9066,21DEC2016,341936.70,341936.70,339935.22
00000000000000000250661304,9507,30JAN2015,15000.00,15000.00,2125.34
00000000000000000261160583,9507,23JUL2015,0.00,0.00,0.00
00000000000000000261160712,9507,23JUL2015,0.00,0.00,0.00
00000000000000000276934700,9507,29MAR2016,0.00,419.00,162.92
00000000000000000280410019,9507,25MAY2016,0.00,0.00,0.00
00000000000000000369408041,9507,20JAN2017,0.00,1300.00,866.66
00000000000000000141977493,13950,22SEP2011,125000.00,125000.00,7858.71
00000100000000000500101781,13950,04APR2011,25627.00,25627.00,0.00
00000000000000000159875634,15892,04DEC2012,23000.00,23000.00,13980.09
00000000000000000357932074,15892,01AUG2016,0.00,663.29,0.00
00000000000000000283582819,20258,17JUL2006,258500.00,258500.00,187959.63
00000000000000000019411684,26094,10SEP2002,102770.66,102770.66,41566.80
00000000000000000369654151,26094,30JAN2017,15000.00,15000.00,14386.90
00000000000000000196784310,26875,17OCT2013,7424.77,7424.77,212.55
00000000000000000240060996,26875,30JUN2014,10949.02,10949.02,5864.95
00000000000000000372103827,27511,03MAR2017,18423.75,18423.75,18423.75
00000100000000001194537605,27511,20FEB2015,42000.00,42000.00,0.00
00000000000000000082791757,28522,26MAY2010,245000.00,205000.00,74256.80
00000000000000000265740374,28522,16OCT2015,1333.48,1333.48,0.00
00000000000000000265741395,28522,16OCT2015,2173.30,2173.30,0.00
00000000000000000266295441,28522,19OCT2015,3105.02,3105.02,0.00
00000000000000000269666247,28522,03DEC2015,2228.74,2228.74,0.00
00000000000000000272060467,28522,12JAN2016,7991.53,7991.53,0.00
00000000000000000272745600,28522,20JAN2016,5370.00,5370.00,0.00
00000000000000000276714600,28522,22MAR2016,2470.30,2470.30,0.00
00000000000000000276734422,28522,23MAR2016,2470.45,2470.45,0.00
00000000000000000277970806,28522,14APR2016,2450.00,2450.00,0.00
00000000000000000278829320,28522,27APR2016,1920.00,1920.00,0.00
00000000000000000278830555,28522,27APR2016,1920.00,1920.00,0.00
00000000000000000278831376,28522,27APR2016,1920.00,1920.00,0.00
00000000000000000281216735,28522,08JUN2016,1322.39,1322.39,0.00
00000000000000000281216885,28522,08JUN2016,1322.39,1322.39,0.00
00000000000000000281216965,28522,08JUN2016,1322.39,1322.39,0.00
00000000000000000356826549,28522,19JUL2016,2460.00,2460.00,0.00
00000000000000000357181811,28522,21JUL2016,1840.00,1840.00,0.00
00000000000000000357181867,28522,21JUL2016,1840.00,1840.00,0.00
