COD_USUARIO,COD_SEGLOBAL,fondos_201507,fondos_201508,fondos_201509,fondos_201510,fondos_201511,fondos_201512
E000170,,0,0,0,0,0,0
E000170,34,0,0,0,0,0,0
E000170,35,0,0,0,0,0,0
E000170,36,0,0,0,0,0,0
E000170,37,11684.42,11673.35,11675.79,11687.85,11696.99,11687.41
E000170,42,67014.43,65051.89,63686.01,65917.87,43472.36,23488.17
E000170,43,160260.96,154240.41,151735.51,157772.9,159883.25,155395.69
E000170,51,0,0,0,0,0,0
E000170,52,0,0,0,0,0,0
E000170,53,0,0,0,0,0,0
E000170,54,0,0,0,0,0,0
E000170,55,0,0,0,0,0,0
E000170,56,0,0,0,0,0,0
E000170,61,0,0,0,0,0,0
E000501,,158772.14,154831.31,151801.95,154821.4,154964.26,153389.92
E000501,42,1143726.44,1152113.04,1134674.76,1200680.02,1205097.5,1190889.62
E000501,43,5903439.2,5859182.06,5619079.85,5728629.77,5747048.3,5674373.83
E000501,51,49750.59,46070.23,43520.47,47119.29,47466.83,45981.72
E000501,52,0,0,0,0,0,0
E000501,55,3180.03,4480.64,4373.56,36093.07,36502.79,36075.67
E000501,56,45203.51,43990,43203.73,100018.89,101300.6,99788.03
E000501,61,0,0,0,0,0,0
E000531,,60958.04,58109.3,55963.78,58196.52,58049.08,81840.54
E000531,42,2327130.74,2429578.67,2394626.68,2495563.76,2562909.47,2437240.14
E000531,43,6401503.37,6246756.81,6194036.22,6394802.59,6414458.12,6421029.54
E000531,51,0,0,0,0,0,0
E000531,53,0,0,0,0,0,25523.54
E000531,55,106028.29,103552.5,102453.96,105456.27,28459.63,33538.69
E000531,56,26587.35,25193.19,9231.63,9698.31,9736.4,35065.99
E000531,61,0,0,0,0,0,0
E000545,,0,0,0,0,0,0
E000545,36,164499.26,194140.34,189473.38,196803.02,198277.92,196894.39
E000545,42,785227,684189.89,642349.12,675238.91,683650.03,672048.79
E000545,43,3255015.86,3157071.76,3092239.11,3194478.65,3201310.25,3180796.64
E000545,51,30367.8,30351.97,30334.81,30352.45,30356.77,30340.21
E000545,52,0,0,0,0,0,0
E000545,53,0,0,0,0,0,0
E000545,54,8590.53,8023.79,7596.73,8130.01,8213.81,8010.09
E000545,55,54675.57,52589.48,50706.27,52956.69,53239.89,62716.67
E000545,56,11830.6,11491.45,11335.38,12216.33,12564.21,12611.66
E000545,61,0,5985.67,5752.69,6043.5,6067.24,5946.38
E000558,,0,0,0,0,0,0
E000558,42,334244.88,326056.56,321558.93,328541.91,278182.66,337546.26
E000558,43,1908020.96,1840321.04,1836449.87,1879955.49,1883307.99,1840631.13
E000558,51,0,0,0,0,0,0
E000558,52,0,0,0,0,0,0
E000558,55,0,0,0,0,0,0
E000558,56,7428.14,7038.05,6764.07,7106.46,7134.6,6992.23
E000558,61,14199.09,14134.57,13948.48,14223.77,14322.92,14124.45
E000575,,0,0,0,0,0,0
E000575,42,691716.99,666739.1,653979.38,821928.53,829282.86,811093.37
E000575,43,1453531.75,1431992.9,1410473.92,1465104.77,1430209.64,1413107.67
E000575,51,0,0,0,0,0,0
E000575,52,0,0,0,0,0,0
E000575,54,0,0,0,0,0,0
E000575,55,0,0,0,0,0,0
E000575,56,6163.32,6031.38,6034.82,6156.93,6299.15,6154.11
E000575,61,0,0,0,0,0,0
E000575,62,0,0,0,0,0,0
E000766,,0,0,0,0,0,0
E000766,42,2880765.34,2764423.65,2710139.13,2793196.06,2916639.96,2811792.63
E000766,43,8327876.9,8094166.08,7958524.87,8127410.73,8243817.19,8206238.16
E000766,51,0,0,0,0,0,0
E000766,55,30716.34,29105.67,27972.77,29386.86,29502.28,28914.6
E000766,56,67444.3,103665.99,100946.78,141373.86,141612.59,161593.54
E000839,,0,0,0,0,0,0
E000839,34,811363.27,780156.92,759107.87,787793.77,791198.14,778252.87
E000839,35,1099182.08,1055838.46,844188.23,873946.38,878437.93,925242.25
E000839,36,284592.99,274023.53,265563.25,275781.65,276701.35,272668.13
E000839,37,0,0,0,0,0,0
E000839,42,584131.45,564358.13,548828.81,569700.47,571454.29,562090.55
E000839,43,452864.34,442943.66,382075.18,372604.07,374153.23,367023.16
E000839,51,5953.86,5953.3,5953.68,5953.24,5953.03,5945.03
E000839,52,6424.38,6403.75,6449.72,6532.45,6600.47,6478.19
E000839,53,0,0,0,0,0,0
E000839,54,0,0,0,0,0,0
E000839,55,0,0,0,0,0,0
E000839,56,0,0,0,0,0,0
E000839,62,0,0,0,0,0,0
E001223,,0,0,0,0,0,0
E001223,36,0,0,0,0,0,0
E001223,37,0,0,0,0,0,0
E001223,42,45262,42919.9,41334.19,43380.29,43570.32,42688.72
E001223,43,3056661.14,3047762.12,3007897.66,3089548.46,3078460.12,3158454.75
E001223,51,36272.77,34370.73,33032.9,34702.79,34839.09,34145.1
E001223,55,44356.18,41642.47,39890.76,42563.31,43001.98,41864.04
E001223,56,83920.6,81736.66,80520.15,82455.28,82920.33,81823.23
E001223,61,0,0,0,0,0,0
E017652,,0,0,0,0,0,0
E017652,42,0,0,0,0,0,0
E017652,43,6915466.66,6807858.94,6733491.42,6981711.35,6901804.15,6736341.24
E017652,51,0,0,0,0,0,0
E017652,52,39196.98,39027,38421.89,38835.63,38856.09,38824.33
E017652,55,137709.67,133264.01,129637.62,133757.49,143104.58,141417.96
E017652,56,61936.42,59704.2,77688.81,91312.31,91762.19,90124.35
E017652,61,0,0,0,0,0,0
E017834,,0,4758,4752.93,4747.1,4706.55,4698.01
E017834,42,0,0,0,0,0,0
E017834,43,23645.85,22611.92,21546.48,22667.19,22731.03,22130.08
E017834,51,5934.16,5897.29,5874.31,5942.21,5967.07,5923.14
E017834,52,0,0,0,0,0,0
E017834,54,0,0,0,0,0,0
E017834,55,112280.94,109372.74,107263.1,109902.91,68301.38,108370.77
E017834,56,808608.33,819840.17,806068.73,1023185.06,1034498.65,1065654.16
E017834,61,199215.9,202557,195828.69,202979.4,204230.22,186829.8
E017834,62,0,0,0,0,0,0
E017873,,0,0,0,0,0,0
E017873,42,0,0,0,0,0,0
E017873,43,1492884.69,1500103.85,1368744.36,1379925.75,1364070.61,1318460.95
E017873,52,0,0,0,0,0,0
E017873,53,0,0,0,0,0,0
E017873,54,30020.75,27799.93,26261.35,28432.96,28642.67,27746.52
E017873,55,50733.4,48510.33,47400.04,49349.69,349964.98,353753.8
E017873,56,111443.91,124880.26,121706.74,125239.09,125469.09,123821.22
E017873,61,6726.68,6742.31,6742.7,6741.87,10650.44,10477.98
E017941,,0,0,0,0,0,0
E017941,43,0,0,0,0,0,0
E017941,51,564.36,551.7,542.65,557.48,560.39,554.26
E017941,52,0,0,0,0,0,0
E017941,54,0,0,0,0,0,0
E017941,55,0,0,0,0,0,0
E017941,56,109361.27,117667.58,115633.51,116909.04,87926.23,87244.9
E017941,61,0,0,0,0,0,0
E017941,62,0,0,0,0,0,0
E018089,,0,0,0,0,0,0
E018089,34,0,0,0,0,0,0
E018089,35,0,0,0,0,0,0
E018089,36,10009.93,9932.25,9762.9,9928.22,9970.91,9877.56
E018089,37,0,0,0,0,0,0
E018089,42,0,0,0,0,0,0
E018089,43,0,0,0,0,0,0
E018089,51,0,0,0,0,0,0
E018089,52,0,0,0,0,0,0
E018089,53,0,0,0,0,0,0
E018089,54,0,0,0,0,0,0
E018089,56,0,0,0,0,0,0
E018089,61,0,0,0,0,0,0
E018296,,0,0,0,23999.48,24112.28,23865.02
E018296,41,0,0,0,0,0,0
E018296,42,562610.18,553961.07,545262.6,557828.39,605801.31,617689
E018296,43,2764433,2694105.99,2591002.8,2616121.08,2652853,2636802.4
E018296,51,0,0,0,0,0,0
E018296,52,0,0,0,0,0,0
E018296,54,70867.97,120597.69,113377.14,123061.52,119882.93,105094.26
E018296,55,61560.13,70060.74,86637.13,90412.77,90827.6,89127.44
E018296,56,412448.61,412988.92,404879.43,423345.17,374708.16,383725.45
E018296,61,0,0,0,0,0,0
E018296,62,0,0,0,0,0,0
E018300,,0,0,0,0,0,0
E018300,34,629302.8,611500.83,552623.06,555489.94,559612.44,602340.8
E018300,35,1003572.54,979154.74,952984.13,966369.91,970343.66,958739.18
E018300,36,625985.63,599866.72,579900.56,605199.28,608907.6,597505.63
E018300,37,0,0,0,0,0,0
E018300,43,188805.7,183296.16,179788.85,185190.1,185943.79,183417.35
E018300,51,0,0,0,0,0,0
E018300,52,12290.75,12214.38,12166.78,12307.41,12358.9,12267.91
E018300,53,0,0,0,0,0,0
E018300,54,0,0,0,0,0,0
E018300,55,0,0,0,0,0,0
E018300,56,0,0,0,5153.9,5196.72,5038.63
E018300,62,0,0,0,0,0,0
E018439,,0,0,0,0,0,20217.34
E018439,37,0,0,0,0,0,0
E018439,42,523545.42,500327.07,546009.61,571133.15,586398.81,623820.95
E018439,43,3051151.1,2840751.23,2794515.85,2917519.36,2926754.23,2874042.57
E018439,51,0,0,0,0,0,0
E018439,52,40004.96,37934.88,36533.35,38341.81,38509.77,37730.56
E018439,55,29012.31,27705.44,26921.61,28198.88,28508.7,27853.4
E018439,56,133857.42,153334.94,188703.67,297410.74,306352.5,302524.76
E018439,61,2351.01,2217.74,9855.84,259590.83,252516.32,251520.92
E018543,,0,0,0,0,0,0
E018543,35,0,0,0,0,0,0
E018543,36,19493.44,18270.29,17394.52,18554.79,18648.4,0
E018543,37,37802.48,0,0,0,0,0
E018543,42,0,0,0,0,0,0
E018543,43,606262.17,582992.11,646368.64,699915.95,693901.87,672312.16
E018543,51,60485.09,57313.43,55082.58,57867.15,58094.42,56937.19
E018543,52,0,0,0,0,0,0
E018543,53,5007.45,4882.57,4783.42,4876.86,4878.95,4829.9
E018543,54,0,0,0,0,0,0
E018543,55,52564.72,49808.38,47869.66,111336.16,111559.79,109940.13
E018543,56,14829.41,14223.64,13767.3,14310.59,14343.4,14102.19
E018543,61,34515.93,33658.65,42393.65,33651.24,33679.97,33338.3
E018550,,0,0,0,0,0,0
E018550,33,0,0,0,0,0,0
E018550,34,30715.54,29126.15,28050.06,29438.58,29567.54,28969.27
E018550,35,30298.99,28710.2,27592.7,28987.58,29101.43,28521.73
E018550,36,294480.74,246004.64,208636.23,217365.76,213336.71,197719.13
E018550,37,0,0,0,0,0,0
E018550,52,0,0,0,0,0,0
E018722,,0,0,0,0,0,0
E018722,34,51854.54,51821.42,0,0,0,0
E018722,35,209216.1,206274.22,202192.47,187976.05,188319.45,171200.63
E018722,36,261436.57,247283.13,237400.44,251240.26,253374.49,247522.52
E018722,37,85486.83,81918.07,79198.14,82845.46,83225.06,81388.14
E018722,42,0,0,0,0,0,0
E018722,51,0,0,0,0,0,0
E018722,52,0,0,0,0,0,0
E018722,56,0,0,0,0,0,0
E018723,,0,0,0,0,0,0
E018723,34,0,0,0,0,0,0
E018723,35,0,0,0,0,0,0
E018723,36,153495.34,146956.16,140193.26,147465.9,147510.85,143595.09
E018723,37,0,0,0,0,0,0
E018723,43,0,0,0,0,0,0
E018723,51,0,0,0,0,0,0
E018723,52,0,0,0,0,0,0
E018732,,0,0,0,0,0,0
E018732,34,0,0,0,0,100616.93,98802.38
E018732,35,0,0,0,0,100616.93,98802.38
E018732,36,0,0,0,0,0,0
E018732,37,0,0,0,0,0,0
E018732,42,1066984.11,1041481.7,1064126.92,1274860.54,1280454.36,1265145.24
E018732,43,3302696.27,3232423.68,3180717.55,3355150.43,3393890.94,3370682.28
E018732,51,0,0,0,0,0,0
E018732,52,9073.88,8705.81,8521.55,8873.16,9011.18,8721
E018732,54,0,0,0,0,0,0
E018732,55,61166.15,59546.88,58199.92,59960.76,60169.87,59408.47
E018732,56,49841.73,49545.72,21820.61,22118.62,22156.43,27595.33
E018732,61,34126.81,33460,32958.65,33583.37,33629.82,33301.48
E018732,62,0,0,0,0,0,0
E018734,,0,0,0,0,0,0
E018734,35,0,0,0,0,0,0
E018734,36,0,0,0,0,0,0
E018734,41,0,0,0,0,0,0
E018734,42,1579371.61,1545773.67,1522693.93,1553540.98,1556736.4,1539227.61
E018734,43,5489820.23,5421962.94,5125218.54,5285539.07,5251934.43,5301689.66
E018734,51,0,0,0,0,0,0
E018734,52,0,0,0,0,0,0
E018734,55,124049.19,117184.19,158282.27,154386.77,155070.12,151715.73
E018734,56,29779.46,27428.51,25972.46,29690.16,30685.1,29524.69
E018734,61,0,0,0,0,0,0
E018734,62,0,0,0,0,0,0
E018745,,0,0,0,0,0,0
E018745,42,1869779.4,1827323.54,1802430.36,1869281.98,1927536.2,1916557.26
E018745,43,7285409.8,7095715.44,7024825.92,7168294.74,7209325.7,7153088.09
E018745,51,0,0,0,0,0,0
E018745,55,93445.99,92003.96,91204.14,92243.81,80563.65,80054.69
E018745,56,49915.05,47321.7,45544.98,47814.03,48016.92,47049.91
E018755,,0,0,0,0,0,0
E018755,33,114778.9,109263.23,105417.17,110296.23,110745.27,108676.43
E018755,34,0,0,0,0,0,0
E018755,35,14774.06,14753.88,14737.43,14739.3,14742.32,14722.52
E018755,36,141768.86,136825.54,147296.21,151783.85,152261.03,149968.57
E018755,37,0,0,0,0,0,0
E018755,43,0,0,0,0,0,0
E018755,51,0,0,0,0,0,0
E018755,52,0,0,0,0,0,0
E018755,56,0,0,0,0,0,0
E018759,,64555.39,62953.09,61721.37,62949.05,126960.79,184025.89
E018759,34,99975.88,91711.71,35975.3,39824.39,40686.49,39330.41
E018759,35,46970.01,45804.18,44908,45801.25,45843.51,45377.77
E018759,36,0,0,0,0,0,0
E018759,42,3716380.39,3010896.66,2911637.48,3001657.84,3186116.3,3126413.98
E018759,43,5001295.61,4780016.01,4658228.57,4830574.36,4882844.14,4806125
E018759,51,0,0,0,0,0,23318.18
E018759,52,0,0,0,0,0,0
E018759,55,35794.9,34991.5,34417.84,9261.53,9309.91,9207.99
E018759,56,35697.98,35280,35044.36,35478.13,35584.42,35337.32
E018759,61,11788,10757.77,9909.05,10969.24,11206.7,10833.18
E018759,62,0,0,0,0,0,0
E018784,,9720.39,8792.77,8224.63,9053.79,9129.02,8851.31
E018784,42,11637.42,11351.95,11229.6,11416.04,11486.05,11385.33
E018784,43,399188.39,309016.59,308773.03,313911.5,268194.84,236593.42
E018784,51,31043.08,31008.26,30981.53,31149.76,31246.85,31073.67
E018784,52,0,0,0,0,0,0
E018784,53,0,0,0,0,0,0
E018784,54,21320.34,21135.65,21113.13,21087.2,20907.07,20869.12
E018784,55,408489.19,397836.68,386425.96,396430.52,399497.21,364663.01
E018784,56,510155.6,496294.54,483494.03,513668.32,513013.12,506756.88
E018784,61,161931.7,153316.29,145354.65,168758.85,172858.01,167414.37
E018784,62,69815.96,88800.86,88138.49,89045.69,89216.01,88744.77
E018790,,0,0,0,0,0,0
E018790,35,0,0,0,0,0,0
E018790,36,0,0,0,0,0,0
E018790,42,222563.41,219694.6,218295.76,219397.27,221228.68,218956.03
E018790,43,1274507.1,1280271.04,1168319.07,1143233.69,1171705.19,1158846.76
E018790,51,0,0,0,0,0,8908.98
E018790,54,25685.68,25129.43,24746.47,25236.99,24522.56,24173.92
E018790,55,0,0,0,0,0,0
E018790,56,30613.11,29119.76,28104.19,29464.55,29613.05,29017.85
E018790,61,0,0,0,0,0,0
E018790,62,0,0,0,0,0,0
E018795,,0,0,0,0,0,0
E018795,43,33901.62,32441.12,31490.43,33012.83,33210.21,32443.27
E018795,51,0,0,0,0,0,0
E018795,52,0,0,0,0,0,0
E018795,54,24391.65,24148.11,0,0,0,0
E018795,55,148785.54,151822.71,150034.49,153034.01,153629.64,151943.73
E018795,56,794137.19,773420.66,767664.56,804512.81,802511.85,782061.49
E018795,61,3055.57,2923.65,2828.54,2941.02,2949.07,2900.21
E018795,62,0,0,0,0,0,0
E018800,,0,0,0,0,0,0
E018800,34,0,0,0,0,0,0
E018800,35,2084.33,1975.03,63801.47,68936.38,70025.85,67787.57
E018800,36,17433.76,16810.59,16404.16,17217.53,17378.49,17056.55
E018800,37,0,0,0,0,0,0
E018800,41,0,0,0,0,0,0
E018800,42,0,0,0,0,0,0
E018800,43,14751.21,13237.39,12778.83,14509.89,14719.6,14091.13
E018800,51,0,0,0,0,0,0
E018800,52,0,0,0,0,0,0
E018800,54,0,0,0,0,0,0
E018800,55,0,0,0,0,0,0
E018800,56,0,0,0,0,0,0
E018800,61,4439.3,4101.13,3811.45,4163.14,4190.25,4027.7
E018800,62,0,0,0,0,0,0
E018808,,0,0,0,0,0,0
E018808,42,2385160.07,2473776.02,2478214.7,2526320.9,2528876.22,2491623.43
E018808,43,5602417.8,5352698.97,5214137.14,5417217.14,5453269.9,5056195.7
E018808,51,0,0,0,0,0,0
E018808,52,0,0,0,0,0,7148.62
E018808,54,0,0,0,0,0,0
E018808,55,87542.2,85277.82,83777.16,85969.37,86314.56,85158.65
E018808,56,67451.34,63479.57,31425.68,32529.21,32788.5,32123.34
E018808,61,0,0,0,0,0,0
E018811,,0,0,0,0,0,0
E018811,36,0,0,0,0,0,0
E018811,42,0,0,0,0,0,0
E018811,43,3781897.29,3742668.63,3628486.53,3698480.06,3655107.07,3682710.98
E018811,51,0,0,0,0,0,0
E018811,54,6690.83,6681.69,6674.25,6694.58,6710.43,6693.16
E018811,55,0,0,0,0,0,0
E018811,56,0,0,0,0,0,0
E018811,61,0,0,0,0,0,0
E018811,62,0,0,0,0,0,0
E018812,,0,100572.6,96657.95,101544.26,131998.5,129914.64
E018812,42,556134.79,541256.53,531725.26,546979.59,550195.47,543580.44
E018812,43,2824608.81,2713813.24,2639811.02,2744433.48,2760928.99,2714045.09
E018812,51,13896.49,37184.63,35737.26,37543.88,37691.33,36940.52
E018812,52,0,0,0,0,0,0
E018812,53,0,0,0,0,0,0
E018812,54,0,0,0,0,0,0
E018812,55,0,28520.18,27410.06,28795.72,28908.81,28332.95
E018812,56,25057.45,24303.14,23778.59,24513.32,24612.7,24275.31
E018814,,0,0,0,0,0,0
E018814,34,0,0,0,0,0,0
E018814,35,20431.85,19360.47,18606.89,19547.51,19624.29,19233.37
E018814,36,123332.46,113746.71,108875.86,118184.46,119648.47,115277.6
E018814,37,0,0,0,0,0,0
E018814,43,0,0,0,0,0,0
E018814,51,0,0,0,0,0,0
E018814,52,0,0,0,0,0,0
E018814,53,0,0,0,0,0,0
E018814,54,0,0,0,0,0,0
E018814,56,0,0,0,0,0,0
E018832,,19772.71,19279.61,18888.07,19257.06,19265.3,19071.62
E018832,35,0,0,0,0,0,0
E018832,42,2816071.22,2772290.86,2797127.25,2873054.17,2917836.84,3020675.26
E018832,43,6792490.1,6871464.54,6841988.07,7181069.12,7347607.32,7199880.48
E018832,51,0,0,0,0,0,0
E018832,52,0,0,0,0,0,0
E018832,53,0,0,0,0,0,0
E018832,54,0,0,0,0,0,0
E018832,55,120483.28,154281.47,150128.82,155201.08,155783.6,171174.62
E018832,56,11618.07,11008.86,10580.35,11115.22,11158.87,28640.38
E018832,61,0,0,0,0,0,0
E018876,,0,0,0,0,0,0
