TEMP_MAX,TEMP_MIN,PLUVIOMETRIA,DIA,MES
14.6,8.8,0,1.0,1.0
11.4,5.8,0.1,2,1
11.9,5.1,0,3,1
13.8,7.2,0,4,1
9.5,4.6,0,5,1
8.8,1.6,0,6,1
14.7,8.7,0,7,1
13.2,10.4,0,8,1
11.8,8.6,0,9,1
12.3,9.4,0,10,1
11.8,5.7,0,11,1
10.6,3.3,0,12,1
,,,13,1
9.1,4.4,1,14,1
9.7,4.8,5.4,15,1
8.5,0.9,0,16,1
7.0,-0.5,0,17,1
10.1,2.6,0,18,1
9.1,2.6,0,19,1
9.2,2.3,0,20,1
9.3,5.1,0,21,1
11.3,6.5,0,22,1
16.6,8.8,0,23,1
17.7,8.6,0,24,1
16.5,8.7,0,25,1
14.6,7.4,0,26,1
10.1,7.8,0,27,1
9.6,7.5,0,28,1
10.7,6.9,0,29,1
13.3,4.9,0,30,1
15.1,7.3,0,31,1
15.6,6.0,5.5,1,2
14.4,6.4,0,2,2
14.7,6.3,0,3,2
11.3,3.2,0,4,2
10.9,3.3,0,5,2
11.7,3.0,0,6,2
10.7,4.2,0.1,7,2
12.2,5.6,0,8,2
12.9,9.1,0,9,2
14.5,8.9,0,10,2
16.4,11.0,0,11,2
13.6,9.0,0,12,2
14.0,12.1,0,13,2
12.3,4.5,0,14,2
10.6,2.9,0,15,2
8.6,1.4,0,16,2
8.9,-2.1,0,17,2
10.5,3.7,0,18,2
11.4,1.9,0,19,2
13.7,2.7,0,20,2
14.0,4.5,0,21,2
15.7,5.3,0,22,2
15.5,5.4,0,23,2
11.2,4.5,0,24,2
13.5,4.8,0,25,2
8.0,3.5,0,26,2
8.2,2.9,0,27,2
11.3,3.8,0,28,2
13.3,3.5,0,29,2
16.9,1.8,0,1,3
18.9,4.3,0,2,3
15.7,5.5,0,3,3
15.3,4.7,0,4,3
11.0,3.1,0,5,3
11.3,2.0,0,6,3
10.7,3.9,0,7,3
11.1,4.5,0,8,3
14.7,3.3,0,9,3
11.6,3.2,0,10,3
14.1,4.3,0,11,3
13.7,1.7,0,12,3
15.6,2.9,0,13,3
13.4,2.8,0,14,3
15.1,3.1,0,15,3
16.4,3.0,0,16,3
16.4,5.7,0,17,3
14.4,5.1,0,18,3
12.7,7.5,0,19,3
13.9,4.8,17.3,20,3
14.4,6.7,4.9,21,3
14.9,5.9,0,22,3
14.4,4.7,0,23,3
19.3,3.2,0,24,3
17.7,5.4,0,25,3
15.9,6.4,0,26,3
